latitude,longitude,accuracy,speed,bearing,kf_latitude,kf_longitude,kf_speed_lat,kf_speed_long,kf_covariance_lat,kf_covariance_long,kf_speed_total
42.26675,-71.01458,5,2.1,133.174,42.2667703662275,-71.0145915696857,-0.154988193728568,0.351090974797193,1.80666767799645,6.18075950309442,0.383778859213594
42.26674,-71.01454,5,3.49,133.174,42.2667595951524,-71.0145789484954,-0.357960451839406,0.452565013852201,1.80666767799645,6.18075950298948,0.577018870440226
42.26672,-71.01449,5,4.13,133.174,42.2667445942624,-71.0145568925026,-0.613314951301504,0.686896900412775,1.80666767799645,6.18075950292538,0.920859696852155
42.2667,-71.01444,5,4.56,133.174,42.2667265503338,-71.01452682495,-0.879553186493545,1.00993877830236,1.80666767799645,6.18075950289212,1.33924984367735
42.26665,-71.01432,8.355,4.53,110.703,42.2667036980223,-71.0144997704428,-1.19084327301728,1.25838803756204,2.11329798663477,7.34657639598131,1.73252652330917
42.26665,-71.01432,5,4.89,59.766,42.2666782979496,-71.0144401682435,-1.47999996468614,2.08365607461573,1.98015752982577,6.98551759156513,2.55578217631198
42.26672,-71.01428,5,3.83,34.805,42.2666873656754,-71.0143823952024,-0.86252674475997,2.74656358864221,1.89684746111967,6.71948200811305,2.87881293798007
42.26674,-71.01427,5,2.57,22.148,42.2667026735853,-71.0143351379528,-0.251259681988853,3.10804619978892,1.84842411990963,6.52799024893878,3.11818578789261
42.26677,-71.01425,5,2.92,14.766,42.2667261853117,-71.0142928209536,0.422027707759185,3.33813934328444,1.82302511525233,6.39442302320906,3.36471123000175
42.26684,-71.01422,10,4.62,13.711,42.2667546506057,-71.01425817931,1.06721772191161,3.43989187720486,2.21226974735235,7.77558529641188,3.60163987550424
42.26696,-71.01417,10,7.25,13.008,42.2668144083046,-71.0142172095888,2.32736949688546,3.68212090651111,2.54659794991424,9.24767175007345,4.35599163741152
42.26702,-71.01416,5,8.09,12.305,42.2669155872101,-71.0141716200684,4.2401318325168,3.97062376608105,2.18022974231769,8.10181953269911,5.80900775080305
42.26716,-71.0141,5,9.25,12.656,42.2670347775009,-71.014120265028,6.15514927808885,4.3260624247872,1.98690954114524,7.38246777015649,7.52334225851206
42.26724,-71.01408,5,9.38,11.602,42.2671449289842,-71.0140764085689,7.43569334478974,4.51337008663173,1.88519347034594,6.91608293796161,8.69827828116878
42.26735,-71.01405,5,9.86,10.898,42.2672603148818,-71.0140348477552,8.56979141319183,4.64629017045814,1.83563762362988,6.61376318873117,9.74829919594759
42.26744,-71.01401,5,9.96,11.25,42.2673719737723,-71.0139927875035,9.35302724252999,4.76702892395866,1.81484776848237,6.42219048062942,10.4977942140893
42.26751,-71.014,5,9.71,12.305,42.267472646712,-71.0139582940276,9.67006642462506,4.73650959448424,1.80832756489665,6.30576052986898,10.7677624321538
42.26761,-71.01397,5,10.06,13.359,42.2675748521871,-71.0139246829467,9.95485998499431,4.7006700073625,1.80764597082487,6.23928753713555,11.0088844048322
42.26771,-71.01393,5,9.81,12.656,42.2676777118857,-71.0138897970722,10.1843572165306,4.6851726918346,1.80851778998801,6.20469335884992,11.2103512463353
42.26775,-71.01392,5,10.23,12.138,42.2677590572819,-71.0138607231006,9.79784348791423,4.58212378586806,1.80920509808188,6.18922582501217,10.8163577697246
42.2679,-71.01388,5,10.21,12.001,42.2678631755299,-71.0138295326531,10.0989929958515,4.53087654541485,1.80929995526095,6.18424522720907,11.06880760516
42.26801,-71.01385,5,10.28,12.001,42.2679710334475,-71.0137988633467,10.4224442880699,4.48020003171956,1.80893766292719,6.18423468036595,11.3445818460683
